polygon_id,x,y
1,64243.0091266,10951.8033033
1,64299.0195456,10774.962577
1,64248.889124,10645.9767883
1,64265.4887056,10232.1367317
1,64149.698975,10139.7763035
1,64063.8617897,10152.9537257
1,63796.4382087,9966.0709677
1,63680.8913886,9983.3157176
1,63534.5943881,9935.3160588
1,63165.8258668,10085.1622508
1,63025.2652665,9975.3349451
1,63306.7156845,9801.4834292
1,63450.4273815,9798.1615038
1,63704.9537632,9695.3557473
1,64249.932072,9752.0291405
1,64732.4092507,9557.4601358
1,64812.3281256,9474.8323878
1,64815.6841518,9406.5122056
1,64694.9247454,9266.618696
1,64437.0373701,9182.9950275
1,64427.9508706,9061.1116921
1,64334.2000574,8986.4672191
1,64142.1440946,9091.423359
1,63966.3302966,9071.2501495
1,63743.9268003,8945.0454964
1,63935.9479841,8767.4694827
1,63991.5177416,8499.099317
1,63972.6985477,8275.971842
1,63882.8904693,8087.2884148
1,63943.8555934,7837.640512
1,63794.5287485,7609.8904973
1,63580.7196587,7582.5655265
1,63425.834793,7692.5182453
1,63429.8701746,7805.4232861
1,63563.662591,7893.583961
1,63560.9222407,8114.6629556
1,63496.6033428,8155.0786467
1,63104.5591496,7751.7175256
1,62955.5020735,7804.3707636
1,62835.599897,7999.5393016
1,62635.9634763,8011.9460668
1,62821.4740087,7638.1901305
1,62819.5667826,7460.9667556
1,62716.7663482,7254.5227734
1,62761.3910127,7179.0712119
1,62850.7911089,7202.4318457
1,63062.8827443,7148.3163029
1,63127.044252,7273.5178995
1,63288.9592532,7412.0106911
1,63531.4378042,7401.7241772
1,63619.2286818,7460.788426
1,63850.1797268,7491.5433349
1,63954.6791006,7391.7795205
1,63988.6062292,7197.7323601
1,64110.6713177,7239.5013953
1,64235.9823072,7069.2243155
1,64034.8739032,6817.8086728
1,64021.8307468,6677.3736262
1,64119.214124,6750.7801493
1,64288.4410951,6786.088395
1,64421.6557939,6733.4351569
1,64541.8964399,6552.7298494999995
1,64628.1352526,6651.121243
1,64749.6938012,6693.8236682
1,64935.3288472,6460.8513138
1,64921.0455103,6356.988284
1,65027.5793884,6214.8120425
1,65027.5793884,6139.3953449
1,64872.3282145,6003.241054
1,64765.8349871,6026.5141666
1,64619.5099694,5864.9786049
1,64872.3282145,5843.5103362
1,65034.2432157,5689.6400902
1,65141.205403,5508.3388101
1,65205.764721,5077.7675787
1,65150.58011,4878.4440792
1,64997.9209613,4782.400201
1,65018.2046814,4677.6474985
1,64936.0334107,4598.6894831
1,65096.9873585,4332.0374218
1,65095.0801324,4200.9464102
1,65028.6711417,4121.1696593
1,65048.9548618,4031.7944112
1,64744.851648,3715.7844401
1,64840.0348821,3698.6499868
1,64941.3292304,3570.7795482
1,64873.8284864,3340.6986333
1,64765.0688914,3246.123369
1,64518.8338046,3290.0688268
1,64403.682974,3217.2764252
1,64263.9594191,3214.3692006
1,64191.3939142,3083.856774
1,64162.5389556,2888.0190196
1,63864.622055500004,2710.9023036
1,63880.4480065,2586.313692
1,63785.4598269,2447.743383
1,63122.2146019,2091.4003243
1,62803.7886506,1854.6856466
1,62666.1354353,1912.0452057
1,62450.161576,1731.666011
1,62000.709239,1584.8206835
1,61843.8017531,1400.8288339
1,61614.6175731,1505.041077
1,61412.0658446,1690.0720091
1,60798.1946406,1697.5538053
1,60708.4792089,1780.8422985
1,60701.0878012,1855.8959151
1,60867.9724782,1995.7894247
1,61379.8013977,2205.0209263
1,61435.7843298,2321.9775636
1,61551.5740604,2414.3379918
1,61898.7877791,2339.6507518
1,62066.3445715,2478.4931812
1,62316.3378892,2461.8034487
1,62282.0777349,2555.8675539
1,62389.0930643,2737.5353904
1,62238.682154,2806.9872775
1,62215.33035,2722.1220648
1,62081.7274164,2645.2504648
1,61965.5690918,2720.3614578
1,61827.9593757,2692.5350085
1,61443.8157643,2820.1707337
1,61236.0897006,2802.0851548
1,61008.3130673,2924.2694129
1,60784.3586282,2705.6561099
1,60884.2126433,2563.1736325
1,60725.8168769,2324.7237474
1,60558.3412238,2325.8294059
1,60413.6847208,2245.0513516
1,60262.0298199,2327.3268707
1,60211.1407739,2180.6561145
1,59926.3121864,1801.8902957
1,59798.9147564,1739.132832
1,59552.6796695,1722.2179
1,59354.4793135,1735.7028938
1,59024.7643711,2140.1813208
1,58609.6369355,2416.9755011
1,58365.4074966,2538.22286
1,58124.4720974,2519.9530713
1,57969.0453788,2796.2488371
1,57859.7439308,2673.7276159
1,57752.5443992,2651.6098727
1,57955.0378958,2385.8258821
1,57924.5918507,2275.0873851
1,58025.597597,2156.0512314
1,58004.5191927,1948.4467928
1,57887.5614659,1810.8321955
1,57948.722146,1633.2177798
1,57912.2686515,1517.878068
1,57661.4109101,1266.9850805
1,57497.0558833,1346.1291039
1,57376.9420601,1325.8495267
1,57286.5096739,1403.2712253
1,57134.1601559,1417.4539343
1,56830.2889646,1782.3367358
1,56626.7821792,1817.2677502
1,56531.7939997,1955.8380592
1,56549.0551111,2078.7516012
1,56448.5872655,2104.7618009
1,56353.2933005,2202.7670033
1,56331.917827,2494.357736
1,56454.5636692,2604.5788221
1,56345.3856912,2793.8354494
1,56312.9055788,3270.1599743
1,56274.6035539,3223.6351698
1,56303.5874944,3032.2623778
1,56208.3166637,2555.7131685
1,56194.8101319,2132.6049076
1,56051.7894557,1832.6452047
1,55693.2983854,1739.132832
1,55278.5372583,1882.0832589
1,55152.6437964,1984.0042508
1,54991.6262045,2276.0690326
1,54825.1589873,2401.7842385
1,54877.7253026,2786.3749854
1,54812.5801427,3101.4346999
1,54776.2725359,2678.7328042
1,54809.1447878,2570.9362376
1,54607.4033813,2309.6738971
1,54787.7693144,2047.521884
1,54811.0520138,1932.6979996
1,54723.2255297,1797.2127117
1,54586.2918909,1769.8877409
1,54487.9943021,1849.1283176
1,54233.0311246,1866.7058044
1,54037.9497568,2022.4478869
1,53828.4224812,2271.3733365
1,53823.2257648,2530.5792877
1,53643.702173,2555.6688454
1,53484.1493921,2340.1012018
1,53302.5509115,2276.1915577
1,53077.0066192,2429.9504301
1,53023.2144766,2570.9387441
1,53302.3616133,3229.2473767
1,53564.8046326,3502.7799617
1,53648.8786759,3526.0680496
1,53733.2080284,3460.7978572
1,53827.4392496,3524.6969392
1,53678.0276054,3694.3800858
1,53675.331336,3825.6051806
1,53440.9189686,3724.7324224
1,53333.1117937,3804.3607677
1,53254.9925607,3962.9785148
1,53290.2943241,4131.7591751
1,53389.9362731,4299.3636694
1,53687.3044057,4554.5457285
1,54160.9346496,5369.1961278
1,53625.9378369,4834.1170476
1,53497.6542059,4628.9264178
1,53099.7721371,4262.2830092
1,52718.614421,4109.1687839
1,52592.9260401,4108.4954916
1,52480.3718206,4030.3735464
1,52134.9212439,4130.5489066
1,51893.1246737,4321.3773286
1,51855.8593524,4439.679603
1,51952.0620785,4569.8594077
1,51657.41626,4567.4322722
1,51445.3767814,4631.3419163
1,51363.856466,4731.3947112
1,51383.0884139,5006.3322464
1,51174.738188,5150.4822755
1,51011.9794087,5031.8160514
1,50880.1290567,5103.866899
1,50770.7065148,5033.5081328
1,50903.4688348,5040.5254076
1,50999.5665215,4916.152428
1,50922.5681932,4806.0087774
1,50882.4964032,4617.0273534
1,50793.5086069,4508.3222806
1,50642.6603067,4444.4126365
1,50535.1892665,4526.2124638
1,50412.0261989,4462.8502364
1,50305.7483106,4567.585193
1,50000.1183025,4631.3419163
1,49834.2550551,4863.0666247
1,49826.3474458,4962.5130546
1,49935.2053087,5105.8299897
1,49940.4882181,5249.5108016
1,50027.6489439,5323.3222562
1,50166.4087496,5308.040997
1,50347.6091009,5530.325038
1,50357.008122,5799.6207721
1,50547.562685,5948.9433462
1,50741.385377,6383.9640415
1,50821.8132237,6469.2753284
1,50458.0921675,6846.2594823
1,50282.8678854,6400.8120707
1,50180.702431,6263.3440139
1,50213.9000436,6069.2332492
1,50063.5812411,5671.3382767
1,49951.0904301,5597.721721
1,49704.9343956,5649.0251902
1,49597.1464183,5616.1593209
1,49496.0030707,5708.82662
1,49517.4316415,5851.6756806
1,49326.8770785,6108.6404359
1,49271.4301983,6297.6218599
1,48988.625094,6739.1160688
1,48845.9592909,7056.3722078
1,48923.806467,6717.8160693
1,49012.7357819,6615.5155311
1,48990.919647,6461.5866012
1,49045.9284251,6334.2586065
1,49294.826731,6113.9032956
1,49477.4325916,5638.8927876
1,49360.3624733,5370.5226219
1,49263.5624221,5268.8366129
1,49276.0195414,5161.9634361
1,49163.7746648,4870.0200646
1,49181.8617741,4785.2896797
1,49129.7361203,4617.0273534
1,49049.8172454,4534.3996054
1,48923.8619884,4554.454644
1,48519.4234797,4958.4104094
1,48764.0899817,4593.0828089
1,48758.1166313,4412.7531805
1,48912.9845855,4428.7845259
1,49014.6430079,4316.6599673
1,48975.9852183,4109.5713562
1,48767.2162393,3847.7520581
1,48641.2994357,3886.5935186
1,48551.080034,3792.2449085
1,48390.3641834,3752.0418886
1,48251.9883716,3865.8376369
1,48036.7371088,3798.174252
1,47929.1114774,3850.4601825
1,47970.2886054,3739.625283
1,47902.991649,3647.1848309
1,47598.3846921,3601.7127867
1,47372.8481545,3767.7889681
1,47145.920404900004,4090.3458867
1,46950.033174,4175.2915112
1,46847.1975647,4349.9402227
1,46659.9439393,4099.7939977
1,46544.3536199,4135.0872681
1,46406.9427582,4107.2313185
1,46176.584838,3953.4862741
1,46022.3666488,3938.1088197
1,45730.4735786,4041.8226483
1,45300.2046966,3845.8440929
1,44900.2187077,3874.4120963
1,44638.8421743,3798.174252
1,44154.364487,3909.2618759
1,44047.1142382,3987.7884882
1,43976.037479,3903.9239726
1,43877.6128634,3878.506967
1,43711.7064102,3954.7339201
1,43588.6124071,4116.6678716
1,43628.0076514,4254.9218862
1,43507.1853731,4531.4878033
1,43541.7288008,4631.4090415
1,43388.5260589,4747.7309683
1,43272.134963,4765.0614223
1,43207.5911784,4847.6891703
1,43152.0214209,5054.5495181
1,43212.1406884,5147.8115125
1,43168.398152,5435.6055115
1,43124.6656747,5464.2510916
1,43062.6145416,5246.7676989
1,43125.9834609,5131.6650537
1,43110.6083707,5008.1888915
1,43035.14692,4898.2735041
1,43029.1813366,4716.3885955
1,42954.5472008,4622.6274493
1,42855.331711,4582.4244294
1,42773.8259079,4615.9644618
1,42632.037463,4911.0043199
1,42586.5096816,4957.023275
1,42516.9470618,4896.0643329
1,42441.8800921,4903.4585125
1,42241.2666307,5166.7676989
1,42109.5042301,5218.3335414
1,42001.8518588,5185.590596
1,41881.7008569,5261.6424908
1,41837.9079834,5148.5048251
1,41660.7050273,4954.2684599
1,41471.7112707,4911.5696642
1,41619.352537,4876.8202593
1,41732.8174615,4905.4856142
1,41900.4003018,4836.5816168
1,42074.5923381,4679.9147379
1,42247.2930515,4702.2214095
1,42395.4466121,4507.9145975
1,42391.4112306,4425.7644655
1,42301.695799,4342.4759724
1,41771.542443,4152.2410018
1,41528.4436016,4200.7731914
1,41451.4748692,4285.8198706
1,41415.4215568,4459.6675659
1,41309.4125492,4361.2107235
1,41203.2321108,4345.8332691
1,41020.5337453,4539.0642165
1,40913.4320448,4575.3945403
1,40795.2022887,4542.3828803
1,40692.3921352,4662.2725505
1,40736.751166,5068.929705
1,40693.5438663,5131.2085272
1,40677.017045,5369.9392134
1,40775.0385624,6161.7262392
1,40708.9189565,6269.1401572
1,40678.1687761,6669.4104996
1,40779.8271985,6781.5350582
1,40913.4320448,6733.1459437
1,41069.3618871,6827.6016441
1,40919.5530238,7149.5513553
1,40817.9776681,7089.3348035
1,40705.4868571,7178.3288137
1,40646.2668646,7430.2143532
1,40686.5170469,8353.0134997
1,40630.5066279,8914.2905874
1,40662.4023773,9311.6944165
1,40630.8917744,9398.8322818
1,40675.2508052,9484.25367
1,40630.5066279,9621.6534925
1,40680.6370496,10042.8109159
1,40630.8917744,10152.0237925
1,40662.4023773,10480.3809554
1,40615.1315377,10605.8105779
1,40649.8868691,11138.055331
1,40599.7564475,11605.3451178
1,40658.8786007,11759.1196624
1,40599.7564475,11866.7618436
1,40584.3813573,13204.6003816
1,40634.5117789,13352.4087731
1,40569.0062671,13681.3014698
1,40600.9020165,14217.102389
1,40554.0163234,14319.313951
1,40598.3753542,14420.4165516
1,40554.0163234,14565.3532223
1,40553.9956502,15016.396905
1,40542.8714275318,15297.792590503961
1,40481.65259776482,22173.944035796674
1,40706.12164024373,22137.94324288938
1,40767.34047001071,21921.938485445633
1,40848.96557636668,21597.93134928001
1,40971.40323590063,21057.919455670635
1,41073.43461884559,20661.910733690424
1,41114.24717202358,20301.902804617508
1,41257.091108146524,19833.892496822715
1,41359.12249109148,19581.886946471674
1,41379.52876768047,19365.88218902792
1,41501.96642721443,19149.877431584173
1,41583.5915335704,18897.871881233128
1,41522.37270380342,18717.867916696672
1,41583.5915335704,18573.864745067505
1,41665.216639926366,18357.859987623757
1,41665.216639926366,18177.856023087297
1,41726.435469693344,17997.852058550838
1,41848.87312922729,17709.845715292504
1,41991.71706535024,17565.842543663337
1,41930.49823558327,17853.848886921674
1,41869.27940581628,18177.856023087297
1,41848.87312922729,18537.863952160213
1,41950.90451217225,18825.87029541855
1,41889.68568240528,19185.878224491466
1,41746.841746282334,19437.883774842507
1,41644.81036333737,19653.888532286255
1,41624.404086748385,19905.894082637296
1,41706.029193104354,20193.90042589563
1,41685.622916515356,20445.905976246675
1,41644.81036333737,20733.91231950501
1,41603.99781015939,20985.91786985605
1,41542.77898039242,21237.92342020709
1,41440.74759744745,21489.928970558132
1,41338.71621450249,21705.933728001884
1,41216.278554968536,21921.938485445633
1,41073.43461884559,22101.942449982093
1,40869.37185295567,22641.954343591467
1,46644.348127640464,22713.955929406053
1,48950.257382196585,22677.95513649876
1,49174.7264246755,22461.950379055008
1,49276.75780762046,22065.941657074804
1,49317.57036079845,21705.933728001884
1,49317.57036079845,21525.929763465425
1,49480.820573510384,21453.928177650843
1,49562.44567986635,21849.936899631048
1,49542.03940327736,22065.941657074804
1,49358.38291397643,22425.94958614772
1,49358.38291397643,22713.955929406053
1,58888.1140810358,22785.957515220634
1,58969.73918739176,22353.948000333134
1,59071.77057033673,21813.93610672376
1,59316.64588940463,21525.929763465425
1,59683.958868006484,21525.929763465425
1,60112.49067637532,21453.928177650843
1,60500.209931566176,21381.926591836258
1,60826.71035699006,21165.921834392506
1,60989.96056970199,21633.9321421873
1,61112.39822923594,22029.94086416751
1,61438.89865465982,22209.944828703967
1,61765.3990800837,22569.952757776886
1,62173.52461186355,22785.957515220634
1,62500.025037287414,23073.963858478972
1,65152.8409938564,22929.9606868498
1,65356.903759746325,11049.69902744354
1,65152.8409938564,10905.69585581437
1,64928.37195137749,11157.701406165412
1,64744.71546207656,11373.706163609166
1,64540.65269618663,11697.713299774789
1,64234.55854735175,11913.718057218539
1,64010.08950487284,12201.724400476873
1,63806.02673898292,12381.728365013334
1,63663.18280285997,12597.733122457083
1,63479.52631355904,12885.739465715415
1,63295.86982425811,13065.743430251876
1,63214.24471790213,12849.738672808126
1,63418.30748379206,12597.733122457083
1,63642.77652627098,12381.728365013334
1,63908.058121927876,12237.725193384165
1,64050.90205805082,12057.721228847708
1,64193.745994173776,11877.71726431125
1,64254.96482394075,11625.711713960207
1,64243.0091266,10951.8033033
