barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
0,0.104006497887895,-0.64463910413906,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
1,8.70361704844981,1.17462795460597,1,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,1,2
2,6.29160710074939,-0.713294758461416,2,4,4,1,4,3,3,3,3,4,4,1,4,3,3,1,3,4,5,5,4,1,3,5,3,5,1,5,3,1,4
3,-1.44880916550756,0.692673027515411,5,3,4,1,3,3,4,3,3,3,3,4,4,4,3,3,3,4,3,3,3,1,3,3,3,4,1,3,2,3,4
4,-1.00381952431053,-1.4455770351924,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
5,1.19136883295141,2.07044853130355,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,-1.18188182101585,0.258663122076541,5,3,4,3,3,3,5,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
7,-0.463588361861184,1.45719400607049,1,1,2,1,2,4,3,2,2,2,2,2,3,5,3,1,4,2,2,2,4,1,2,4,3,2,1,4,2,1,5
8,-0.954907705774531,-0.796411891933531,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
9,10.3307097763754,-1.05051545193419,2,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
10,2.14332404453307,1.58165643690154,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,6.6169477251824,1.38262255117297,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
12,10.2169094216079,0.210610295180231,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5
13,-0.924036487936974,1.50028624339029,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
14,7.3175311461091,2.00983960879967,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,5,2,2,2,2,2
15,0.959880013717338,1.69094342039898,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
16,2.54234492802061,0.317634225357324,3,1,5,1,5,4,3,5,5,1,4,1,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
17,-2.513617541641,-0.0351988314650953,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
18,1.4558964795433,-0.611967602744699,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
19,7.73858056380413,-0.519139729440212,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
20,2.39479355327785,0.76814508298412,3,1,5,1,5,4,3,5,5,1,4,1,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
21,5.70536901243031,1.56671925680712,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
22,6.518499243306,-1.11295205773786,2,4,3,1,4,5,3,5,5,4,5,5,5,3,5,1,5,5,5,5,4,5,5,5,3,5,1,5,5,1,5
23,10.3053180268034,0.0396214984357357,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5
24,-1.39530763658695,0.631034355610609,5,3,4,3,3,3,5,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
25,2.18967121443711,0.937869329936802,3,1,5,1,5,4,3,5,5,1,4,1,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
26,0.0266141309402883,1.67354166740552,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27,9.00553881702945,-1.73992350464687,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
28,7.84794769645669,-1.92122698528692,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
29,8.42143601621501,0.480735930614173,2,4,3,4,4,5,3,5,5,4,5,5,3,3,5,1,4,3,5,5,4,1,5,5,5,3,1,4,5,5,5
30,6.73990436946042,-1.35569435777143,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
31,0.904493449488655,1.41517444979399,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32,6.96231718175113,-0.395198359619826,2,4,3,1,4,3,3,5,3,4,4,1,4,3,5,1,3,4,5,5,4,1,3,5,3,5,1,5,3,1,4
33,8.54628571495414,0.626872407738119,2,1,2,4,4,4,3,5,5,4,5,2,3,5,5,1,4,3,2,5,4,1,5,4,5,2,1,4,3,5,5
34,9.49704517424107,-0.736138622742146,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
35,0.968927977373824,-1.14929560339078,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
36,6.64892285899259,-0.173537919763476,2,3,4,1,3,3,3,3,3,4,4,1,4,3,3,1,3,4,5,5,4,1,3,5,3,5,1,5,3,1,4
37,-1.27098048501648,-1.92029115278274,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
38,7.57707332959399,-1.66015401948243,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
39,8.68749203975312,1.59207186195999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40,-1.34249490383081,-1.41237219795585,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
41,6.8111244821921,-0.616247046273202,2,4,3,1,4,3,3,5,3,4,4,1,4,3,5,1,3,4,5,5,4,1,3,5,3,5,1,5,3,1,4
42,-2.05455939681269,0.424142668489367,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
43,-0.332752214977518,-0.154548024293035,1,2,5,1,2,4,2,2,3,2,3,1,2,2,3,1,2,2,2,2,3,2,3,2,3,5,2,2,2,2,4
44,7.35181749402545,-0.756000489927828,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
45,9.86837507528253,-0.38299891166389,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5
46,10.1555864992552,-0.940145116765052,2,1,1,4,1,5,1,1,1,5,5,3,1,1,3,5,1,1,1,1,1,4,1,1,1,3,4,1,1,4,1
47,5.6909127831459,-0.48759777797386,5,3,4,1,3,3,3,3,3,3,4,4,4,3,3,1,3,4,5,5,4,1,3,5,3,4,1,5,3,1,4
48,-1.10854913247749,-2.06841270206496,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
49,7.47711140080355,-1.28480358747765,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
50,0.526911146240309,-0.850678882561624,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
51,9.16113598295487,0.65702693304047,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,4,3,5,5,4,5,5,5,5,3,5,4,5,5,5
52,1.59424624824896,0.203823526389897,3,1,5,1,5,4,3,5,5,1,4,1,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
53,7.5136331608519,-0.770553918555379,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
54,10.0769329087343,0.757638944778591,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5
55,6.90208161063492,0.065546128898859,2,3,4,1,3,3,3,3,3,4,4,1,4,3,3,1,3,4,5,5,4,1,3,5,3,5,1,5,3,1,4
56,0.413251110818237,-0.459757705684751,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
57,-0.108422211604193,1.23759769601747,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
58,9.43599043041468,-0.153365335427225,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5
59,7.75680462340824,1.86781684635207,1,1,2,1,2,4,2,2,2,2,2,2,2,5,3,1,4,2,2,2,4,2,2,2,3,2,2,4,2,1,5
60,7.29966246639378,0.164937425870448,2,4,3,1,4,3,3,5,3,4,4,1,4,3,5,1,3,4,5,5,4,1,5,5,3,5,1,5,3,1,4
61,7.97321891132742,-0.131870452314615,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5
62,0.655573212075979,0.539847982581705,3,1,2,1,2,4,3,5,2,2,4,2,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
63,5.86350899399258,1.72014547279105,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
64,7.90097371651791,0.0627151015214622,2,4,3,1,4,3,3,5,5,4,5,5,5,3,5,1,5,5,5,5,4,5,5,5,5,3,1,4,3,5,5
65,7.673472965369,-1.83632140047848,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
66,8.24330554087646,1.36445329990238,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,1,2
67,1.4681216427125,1.3190309307538,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
68,9.57759246043861,0.663049430586398,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,3,5,5,4,5,5,5,5,3,5,4,5,5,5
69,8.80252929544076,-1.13976846216246,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
70,7.58894070237875,0.209649458993226,2,4,3,1,4,3,3,5,5,4,4,1,4,3,5,1,5,4,5,5,4,1,5,5,3,5,1,4,3,1,5
71,0.899334877962247,1.41252000583336,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
72,6.66443562554196,-1.33283659582958,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
73,-1.43790176766925,0.233283850830048,5,3,4,1,3,3,4,3,3,3,3,4,4,4,3,3,3,4,3,3,3,1,3,3,3,4,1,3,2,3,4
74,6.85599908069707,-0.677927043288946,2,4,3,1,4,5,3,5,3,4,4,1,5,3,5,1,5,4,5,5,4,1,5,5,3,5,1,5,5,1,4
75,0.357538322219625,-0.985684501938522,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
76,8.15930255781859,-1.9700432382524,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
77,1.47045474522747,-0.66126449033618,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
78,1.19604735565372,0.139600448310375,3,1,5,1,5,4,3,5,5,1,4,1,3,5,1,1,4,3,1,4,1,1,5,4,5,3,1,1,3,1,5
79,8.08556006127037,1.32700715912506,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,1,2
80,6.90665448713116,-0.990135669708252,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
81,-0.513744463212788,0.325850725639611,1,2,4,1,2,2,4,3,3,2,2,2,2,2,2,1,2,2,3,3,3,1,3,3,3,5,1,2,2,1,2
82,9.8003528828267,0.947292689234018,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,4,3,5,5,4,5,5,5,5,3,5,4,5,5,5
83,9.0268493599724,0.0387754524126649,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5
84,7.79288513609208,-1.76979501033202,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
85,-0.781441903673112,-0.965975276194513,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,1,3,4,3,3,3,1,3,3,3,5,3,3,4,3,4
86,-1.51179703581147,-1.84666489483789,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
87,-0.633024009177461,-1.99217092245817,3,1,5,1,3,3,4,5,3,3,3,4,3,5,4,1,4,3,5,3,5,3,3,4,3,3,3,3,4,3,5
88,6.27692166855559,1.16823948686942,5,3,4,1,3,3,5,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,3,4,3,3,4,3,4
89,1.46548114065081,-1.05319892056286,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
90,0.457215535454452,-0.703363779466599,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
91,1.19346328056417,0.129373231902719,3,1,5,1,5,4,3,5,5,1,4,1,3,5,1,1,4,3,1,4,1,1,5,4,5,3,1,1,3,1,5
92,1.71720745228231,0.539714130572975,3,1,5,1,5,4,3,5,5,1,4,1,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
93,7.48163584177382,-0.277884467504919,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,1,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5
94,8.89608916942962,0.993600375950336,1,1,2,1,4,4,3,5,5,4,4,2,3,5,5,1,4,3,2,5,4,1,5,4,5,2,1,4,3,1,5
95,-2.07172304019332,0.141413914971054,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
96,-2.58544201985933,-1.15785930072889,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3,4
97,0.850037566153333,-0.884277320001274,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
98,-2.13978908467107,-0.85863194661215,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3,4
99,1.36258748313412,-0.117000313475728,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,4,1
100,0.224212295608595,2.00767540140077,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101,7.97348083206452,-0.148619818501174,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,3,5,4,5,5,5
102,6.45622519636527,-0.645554244983941,2,4,4,1,4,3,3,3,3,4,4,1,4,3,3,1,3,4,5,5,4,1,3,5,3,5,1,5,3,1,4
103,0.790511183440685,0.60493080643937,3,1,2,1,5,4,3,5,2,2,4,2,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
104,-1.66763962106779,-0.324891658965498,5,3,4,3,3,3,4,4,4,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,3,3,4,3,3
105,9.34245410724543,0.58638104936108,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,3,5,5,4,5,5,5,5,3,5,4,5,5,5
106,8.5558577615302,-1.01410900475457,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
107,6.42173825879581,1.20811159955338,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
108,-0.815045634051785,-1.41148710856214,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,1,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
109,6.53316697478294,-0.343784233555198,2,3,4,1,4,3,3,3,3,4,4,1,4,3,3,1,3,4,5,5,4,1,3,5,3,5,1,5,3,1,4
110,8.69170199614018,-0.718959122896194,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
111,7.17692190385424,-1.04347920976579,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5
112,9.26968740229495,0.81315477611497,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,1,4,3,5,5,4,5,5,5,5,3,5,4,5,5,5
113,6.74430828168988,1.35409096488729,5,3,4,3,3,3,5,3,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
114,0.671765936305746,0.596884898841381,3,1,2,1,2,4,3,5,2,2,4,2,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
115,8.31025363388471,0.218206560239196,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,3,5,5,4,5,5,5,5,3,5,4,5,5,5
116,2.02716180775315,1.56323764240369,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
117,6.60683361394331,-1.10536812804639,2,4,3,1,4,5,3,5,5,4,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,3,1,5,5,1,5
118,6.1524935849011,0.883010325487703,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
119,0.136555270291865,1.18754617171362,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
120,-1.77173011144623,-0.791896057780832,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,5,3,3,3,3,5,3,3,4,3,4
121,-1.65232856431976,0.565979846287519,5,3,4,3,3,3,5,4,4,3,3,4,4,4,3,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
122,-1.25120831723325,0.264307188335806,5,3,4,1,3,3,4,3,3,3,3,4,4,4,3,3,3,4,3,3,3,1,3,3,3,5,1,3,2,3,4
123,7.88930780417286,-1.70356079004705,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
124,6.34072246565484,0.196670098230243,5,3,4,3,3,3,5,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,3,3,4,3,3
125,-1.50943269184791,-1.42220030771568,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,3,3,4,3,4
126,8.94600117742084,1.38513219775632,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
127,2.22012599045411,0.0248389295302331,3,1,5,1,5,4,3,5,5,1,4,1,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
128,7.01110060676001,1.50730416644365,1,1,4,1,2,3,4,3,3,3,3,2,4,4,3,3,3,4,3,3,3,1,3,3,3,5,1,3,2,1,4
129,8.9706147920806,-0.425643569324166,2,1,1,4,4,5,1,1,1,5,5,3,1,1,5,5,1,1,1,1,1,4,1,1,5,1,4,1,5,4,1
130,-2.3789537770208,-1.0619015339762,3,3,4,1,3,3,4,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,4,3,3,4,3,4
131,8.73009927617386,0.216895916964859,2,4,3,4,4,5,3,5,5,4,5,5,5,3,5,4,5,3,5,5,4,5,5,5,5,3,5,4,5,5,5
132,7.39959979150444,1.02563619613647,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,5,2,2,2,2,2
133,-2.49275987898,-0.372977389488369,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
134,7.2171741889324,1.45917974179611,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,5,2,2,2,2,2
135,10.0391103636939,-0.793473981320858,2,4,3,4,4,5,1,1,5,5,5,3,5,3,3,5,1,5,1,1,1,4,1,1,1,3,4,1,5,5,1
136,5.56579871755093,-0.0416870461776853,5,3,4,3,3,3,5,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,3,3,4,3,3
137,0.58509833435528,-1.26692071557045,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
138,0.96155222482048,0.886842736508697,3,1,2,1,5,4,3,5,2,2,4,2,3,5,3,1,4,3,5,4,4,1,5,4,5,3,1,4,3,1,5
139,5.71773388143629,0.0453333393670619,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
140,8.20017758593895,1.80447249906138,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
141,0.964048271300271,-0.845033158548176,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
142,-2.50421766540967,-0.701308462303132,5,3,4,3,3,3,5,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
143,1.17210133746266,0.183122309390455,3,1,5,1,5,4,1,5,5,1,4,1,3,5,1,1,4,3,1,4,1,1,5,4,5,3,1,1,3,1,5
144,1.12959738029167,-0.999866651836783,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
145,0.145786633482203,-0.912456365767866,4,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1
146,8.51355718448758,-1.00516763050109,4,1,1,5,1,1,1,1,1,5,1,3,1,1,3,5,1,1,1,1,1,4,1,1,1,1,4,1,1,4,1
147,0.922769685043022,1.51285071624443,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
148,-1.77929503051564,0.789221955928952,5,3,4,1,3,3,4,3,3,3,3,4,4,4,3,3,3,4,3,3,3,1,3,3,3,4,1,3,2,3,4
149,9.16484092664905,-0.237307052593678,2,4,3,4,4,5,3,5,5,4,5,3,5,3,5,4,5,5,5,5,5,5,5,5,5,3,5,4,5,5,5
150,2.15291117154993,-0.165392993949354,3,1,5,1,5,4,3,5,5,1,4,1,3,5,1,1,5,3,1,1,1,1,5,4,5,3,1,1,3,1,5
151,6.03467164863832,1.78060748847201,5,3,4,3,3,3,5,3,4,3,3,4,4,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3
